file;manager;license;author;source;modified
andrea-belotti.jpg;Andrea Belotti;Attribution;Presidenza della Repubblica;https://commons.wikimedia.org/wiki/File:Andrea_Belotti_2021.jpg;cropped to the head and resized to 320px
andrea-pirlo.jpg;Andrea Pirlo;CC BY-SA 3.0;Clément Bucco-Lechat;https://commons.wikimedia.org/wiki/File:20150616_-_Portugal_-_Italie_-_Gen%C3%A8ve_-_Andrea_Pirlo_(cropped).jpg;cropped to the head and resized to 320px
andres-iniesta.jpg;Andrés Iniesta;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Andr%C3%A9s_Iniesta_Argentina_v_Spain_19_July_2026-034_(cropped).jpg;cropped to the head and resized to 320px
andrey-arshavin.jpg;Andrey Arshavin;CC BY-SA 3.0;Анна Мейер;https://commons.wikimedia.org/wiki/File:Andrey_Arshavin_2021.jpg;cropped to the head and resized to 320px
andriy-shevchenko.jpg;Andriy Shevchenko;CC BY 4.0;Міністерство молоді та спорту України;https://commons.wikimedia.org/wiki/File:%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_2024_(cropped).png;cropped to the head and resized to 320px
andy-cole.jpg;Andy Cole;CC BY-SA 2.0;Norio NAKAYAMA from saitama, japan;https://commons.wikimedia.org/wiki/File:Aeroflot_Manchester_United_Trophy_Tour_in_Tokyo_(13047502155).jpg;cropped to the head and resized to 320px
andy-robertson.jpg;Andy Robertson;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Andy_Robertson_Scotland_v_Bolivia_6_June_2026-43.jpg;cropped to the head and resized to 320px
angel-di-maria.jpg;Ángel Di María;CC BY-SA 3.0;Кирилл Венедиктов;https://commons.wikimedia.org/wiki/File:NIG-ARG_(5).jpg;cropped to the head and resized to 320px
ante-rebic.jpg;Ante Rebić;CC BY 2.0;Beşiktaş JK;https://commons.wikimedia.org/wiki/File:Ante_Rebic_playing_for_Be%C5%9Fikta%C5%9F_-_2_(cropped).jpg;cropped to the head and resized to 320px
antoine-griezmann.jpg;Antoine Griezmann;CC BY-SA 2.0;Biser Todorov ( User:Biso ) from Sofia, Bulgaria;https://commons.wikimedia.org/wiki/File:Antoine_Griezmann_(51100409504)_(cropped).jpg;cropped to the head and resized to 320px
antonio-cassano.jpg;Antonio Cassano;CC BY-SA 3.0;Илья Хохлов;https://commons.wikimedia.org/wiki/File:Antonio_Cassano_Euro_2012_vs_England.jpg;cropped to the head and resized to 320px
antonio-conte.jpg;Antonio Conte;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:A._Conte_1900.jpg;cropped to the head and resized to 320px
antonio-rudiger.jpg;Antonio Rüdiger;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Antonio_Rudiger_Ecuador_v_Germany_25_June_2026-055_(cropped).jpg;cropped to the head and resized to 320px
antony.jpg;Antony;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:Antoniy_Sokolov.jpg;cropped to the head and resized to 320px
arda-turan.jpg;Arda Turan;CC0;HakanIST;https://commons.wikimedia.org/wiki/File:Arda_Turan,_Ey%C3%BCpspor_Teknik_Direkt%C3%B6r%C3%BC,_1_Eyl%C3%BCl_2024_Kas%C4%B1mpa%C5%9Fa_Stadyumu.jpg;cropped to the head and resized to 320px
ariel-ortega.jpg;Ariel Ortega;CC BY 2.0;Gobierno de la Ciudad de Buenos Aires from Ciudad Autónoma de Buenos Aires, Argentina;https://commons.wikimedia.org/wiki/File:Ariel_Ortega_(cropped).jpg;cropped to the head and resized to 320px
aritz-aduriz.jpg;Aritz Aduriz;CC BY 2.0;Carlos_RM;https://commons.wikimedia.org/wiki/File:Aduriz_Val%C3%A8ncia_CF.jpg;cropped to the head and resized to 320px
arjen-robben.jpg;Arjen Robben;CC BY-SA 3.0;Дмитрий Садовников;https://commons.wikimedia.org/wiki/File:Arjen_Robben_2013.jpg;cropped to the head and resized to 320px
arkadiusz-milik.jpg;Arkadiusz Milik;CC BY-SA 3.0;Илья Хохлов;https://commons.wikimedia.org/wiki/File:Arkadiusz_Milik_2016_(cropped).jpg;cropped to the head and resized to 320px
arne-slot.jpg;Arne Slot;CC BY 2.0;Carlo Bruil Fotografie;https://commons.wikimedia.org/wiki/File:Arne_Slot_in_2024.jpg;cropped to the head and resized to 320px
aron-winter.jpg;Aron Winter;CC BY-SA 3.0;Новикова Юлия;https://commons.wikimedia.org/wiki/File:Aron_Winter.jpg;cropped to the head and resized to 320px
arrigo-sacchi.jpg;Arrigo Sacchi;CC BY-SA 2.0;Elena Torre;https://commons.wikimedia.org/wiki/File:Arrigo_Sacchi_2007_(cropped).jpg;cropped to the head and resized to 320px
arsene-wenger.jpg;Arsène Wenger;CC BY-SA 4.0;Barcex;https://commons.wikimedia.org/wiki/File:25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Ars%C3%A8ne_Wenger_-_240422_192850_(cropped).jpg;cropped to the head and resized to 320px
arthur-numan.jpg;Arthur Numan;CC BY-SA 1.0;Dmitry Parshin;https://commons.wikimedia.org/wiki/File:Arthur_Numan.JPG;cropped to the head and resized to 320px
arturo-vidal.jpg;Arturo Vidal;CC BY-SA 3.0;Дмитрий Садовников;https://commons.wikimedia.org/wiki/File:Chile_VS._Australia_(13)_2017-6-25_Arturo_Vidal.jpg;cropped to the head and resized to 320px
ashley-cole.jpg;Ashley Cole;CC BY-SA 3.0;Stanislav Vedmid;https://commons.wikimedia.org/wiki/File:ACole.JPG;cropped to the head and resized to 320px
ashley-young.jpg;Ashley Young;CC BY-SA 3.0;Кирилл Венедиктов;https://commons.wikimedia.org/wiki/File:Ashley_Young_2018-06-13_1.jpg;cropped to the head and resized to 320px
axel-witsel.jpg;Axel Witsel;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Axel_Witsel_USMNT_v_Belgium_Mar_28_2026-34_(cropped).jpg;cropped to the head and resized to 320px
aymeric-laporte.jpg;Aymeric Laporte;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Aymeric_Laporte_France_v_Spain_7.24.26-033_(cropped).jpg;cropped to the head and resized to 320px
bas-dost.jpg;Bas Dost;CC BY-SA 3.0;Дмитрий Голубович;https://commons.wikimedia.org/wiki/File:CSKA-Wolfsburg_(4).jpg;cropped to the head and resized to 320px
bastian-schweinsteiger.jpg;Bastian Schweinsteiger;CC BY-SA 2.0;Anne Barth / re:publica;https://commons.wikimedia.org/wiki/File:Re-publica_23_-_Tag_3_(52957826298)_(cropped).jpg;cropped to the head and resized to 320px
bebeto.jpg;Bebeto;CC BY-SA 2.0;Sergio Savarese from Sao Paulo City / Ipiranga, Brasil;https://commons.wikimedia.org/wiki/File:Bebeto_brazil_(cropped).jpg;cropped to the head and resized to 320px
benjamin-sesko.jpg;Benjamin Šeško;CC BY-SA 4.0;Werner100359;https://commons.wikimedia.org/wiki/File:FC_RB_Salzburg_gegen_SK_Austria_Klagenfurt_(2023-05-28)_38_(cropped).jpg;cropped to the head and resized to 320px
bernardo-silva.jpg;Bernardo Silva;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Bernardo_Silva_Croatia_v_Portugal_2_July_2026-238.jpg;cropped to the head and resized to 320px
bert-van-marwijk.jpg;Bert van Marwijk;CC BY-SA 4.0;Granada;https://commons.wikimedia.org/wiki/File:20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Bert_van_Marwijk_850_0495.jpg;cropped to the head and resized to 320px
bixente-lizarazu.jpg;Bixente Lizarazu;CC BY-SA 2.0;Oscar Alonso Algote;https://commons.wikimedia.org/wiki/File:Bixente_Lizarazu_(cropped).jpg;cropped to the head and resized to 320px
blaise-matuidi.jpg;Blaise Matuidi;CC BY-SA 3.0;Илья Хохлов;https://commons.wikimedia.org/wiki/File:Matuidi_PSG.jpg;cropped to the head and resized to 320px
bora-milutinovic.jpg;Bora Milutinović;CC BY 2.0;Doha Stadium Plus Qatar;https://commons.wikimedia.org/wiki/File:Bora_Milutinovic_2012_5_(cropped).jpg;cropped to the head and resized to 320px
borja-iglesias.jpg;Borja Iglesias;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Borja_Iglesias_Argentina_v_Spain_19_July_2026-253_(cropped).jpg;cropped to the head and resized to 320px
boudewijn-zenden.jpg;Boudewijn Zenden;CC BY-SA 2.5;Mr. Phillip Chambers;https://commons.wikimedia.org/wiki/File:Zenden_(cropped).jpg;cropped to the head and resized to 320px
brad-friedel.jpg;Brad Friedel;CC BY 2.0;James Boyes;https://commons.wikimedia.org/wiki/File:Brad_Friedel_entrance_Brighton_v_Spurs_Amex_Opening_30711.jpg;cropped to the head and resized to 320px
brendan-rodgers.jpg;Brendan Rodgers;Public domain;U.S. Air Force photo by R.J. Oriez;https://commons.wikimedia.org/wiki/File:Brendan_Rodgers_(220902-F-JW079-1139)_(cropped).jpg;cropped to the head and resized to 320px
brian-clough.jpg;Brian Clough;CC0;Hans van Dijk for Anefo;https://commons.wikimedia.org/wiki/File:Aankomst_Nottingham_Forrest_op_Schiphol,_Ajax_1_tegenstanders_voor_de_Europa_Cup,_Bestanddeelnr_930-7831.jpg;cropped to the head and resized to 320px
brian-laudrup.jpg;Brian Laudrup;CC BY-SA 3.0;Jonbear83;https://commons.wikimedia.org/wiki/File:Brian-Laudrup-Darren-Laver-Lars-Hogh_(cropped).jpg;cropped to the head and resized to 320px
bruno-fernandes.jpg;Bruno Fernandes;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Bruno_Fernandes_USMNT_v_Portugal_Mar_31_2026-27_(cropped).jpg;cropped to the head and resized to 320px
bruno-guimaraes.jpg;Bruno Guimarães;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Bruno_Guimaraes_Brazil_V_Morocco_13_June_2026-78_(cropped).jpg;cropped to the head and resized to 320px
bruno-martins-indi.jpg;Bruno Martins Indi;CC BY-SA 3.0;Богдан Заяц;https://commons.wikimedia.org/wiki/File:Bruno_Martins_Indi.jpg;cropped to the head and resized to 320px
bryan-mbeumo.jpg;Bryan Mbeumo;CC BY 3.0;AFC Bournemouth;https://commons.wikimedia.org/wiki/File:Bryan_Mbeumo_00-02-31.18.png;cropped to the head and resized to 320px
burak-y-lmaz.jpg;Burak Yılmaz;CC BY 2.0;Beşiktaş JK;https://commons.wikimedia.org/wiki/File:Burak_Y%C4%B1lmaz_20231008_3_(cropped).jpg;cropped to the head and resized to 320px
cafu.jpg;Cafu;CC BY-SA 4.0;Lula Oficial;https://commons.wikimedia.org/wiki/File:Cafu_-_26.02.2026_-_Cerim%C3%B4nia_de_apresenta%C3%A7%C3%A3o_das_ta%C3%A7as_da_Copa_do_Mundo_de_2026.jpg;cropped to the head and resized to 320px
careca.jpg;Careca;CC BY 3.0 br;Valter Campanato/ABr;https://commons.wikimedia.org/wiki/File:Antonio_de_Oliveira_Filho_(Careca)_01.jpg;cropped to the head and resized to 320px
carles-puyol.jpg;Carles Puyol;CC BY-SA 4.0;Pedro J Pacheco;https://commons.wikimedia.org/wiki/File:Premios_Goya_2020_-_Carles_Pujol.jpg;cropped to the head and resized to 320px
